,type,name,created_at,Hash,Add,Del,Files,Vuln
0,Commit,clastix_capsule,2022-12-08 18:49:06,514aad04cd8da18ea32b031133b69918d5bf6051,12.0,12.0,2.0,0.0
1,Commit,clastix_capsule,2022-12-02 14:43:41,eba072c88dfcff9348d870d03b74ad3737a528b1,2.0,2.0,1.0,0.0
2,Commit,clastix_capsule,2022-12-02 14:43:41,9d02fb39ebe939de644634e90ca02ca87f2f658d,2.0,2.0,2.0,0.0
3,Commit,clastix_capsule,2022-12-02 14:19:06,1df430e71be8c4778c82eca3459978ad7d0b4b7b,146.0,0.0,1.0,1.0
4,Commit,clastix_capsule,2022-12-02 14:19:06,75525ac19254b0c5111e34d7985e2be7bc8b1ac1,154.0,14.0,11.0,1.0
5,Commit,clastix_capsule,2022-11-21 17:56:44,132ffd57eab1fc3f0b539b84cb5a5eee473826cb,5.0,0.0,1.0,0.0
6,Commit,clastix_capsule,2022-11-15 17:43:26,76021148350e201d070a14f05a91a2281cb6ecad,13.0,13.0,2.0,0.0
7,Commit,clastix_capsule,2022-11-15 09:58:19,82996c1c831ac5f4f8142d3844e68c1fb582e8de,2.0,2.0,1.0,0.0
8,Commit,clastix_capsule,2022-10-14 18:21:32,ede96f5cf45b972d8cfee72b7b5ca47765c24e1e,4.0,1.0,1.0,0.0
9,Commit,clastix_capsule,2022-10-13 14:02:23,2fc1be8bfe14775c3aec29cf54d597c2182784c0,24.0,8.0,3.0,0.0
10,Commit,clastix_capsule,2022-09-27 12:15:38,e0dbf4772390dc585e3b7f4fa5d2769890f40485,21.0,4.0,1.0,0.0
11,Commit,clastix_capsule,2022-09-13 13:19:19,fb68795e90ee1d7d53c8bb01d44ef1885d06d23c,128.0,0.0,1.0,0.0
12,Commit,clastix_capsule,2022-08-30 13:02:00,a026e2f00c701a9978317749d32cabe1cb087f89,3.0,0.0,1.0,0.0
13,Commit,clastix_capsule,2022-08-30 08:34:21,413208e7fe38dbc20d128ef5204731fc245949ee,0.0,29.0,1.0,0.0
14,Commit,clastix_capsule,2022-08-30 08:33:18,2771b63c18b299ef663a8f92bcb2dafe6a63f7d4,14.0,3.0,4.0,0.0
15,Commit,clastix_capsule,2022-08-30 08:33:18,9a1520ff6693a6687e0f4ecb257cf63903a2d783,6.0,6.0,3.0,0.0
16,Commit,clastix_capsule,2022-08-30 08:33:18,c304fb2438b5b347fe71ffbb77f844b404a0c5fa,132.0,44.0,9.0,0.0
17,Commit,clastix_capsule,2022-08-17 16:49:57,6d56237e231d41ba4df1d73019f915f2250eb467,0.0,87.0,2.0,0.0
18,Commit,clastix_capsule,2022-08-17 16:49:57,c32166ba4542229c6ac641e2fecdd0aa7d935987,3.0,0.0,1.0,0.0
19,Commit,clastix_capsule,2022-08-05 09:48:31,3435f5464bcc6be2ee547ac2f7c89ddd7d8e9193,24.0,0.0,3.0,0.0
20,Commit,clastix_capsule,2022-08-02 08:18:04,f216d0bd8da6cf31d2ff218c160192e566089478,9.0,0.0,2.0,0.0
21,Commit,clastix_capsule,2022-08-01 07:37:12,f9e7256746b11f461095620e06ebc91c6c4b818d,18.0,0.0,1.0,0.0
22,Commit,clastix_capsule,2022-07-26 18:41:33,a36c7545db9e8791210dde1d5d62b4bead3aa2cc,1.0,1.0,1.0,0.0
23,Commit,clastix_capsule,2022-07-26 18:11:03,f612ecea0cbacb961ba4843e8bcb396f14ae928b,3.0,3.0,3.0,0.0
24,Commit,clastix_capsule,2022-07-26 15:48:58,098a74b565254ee59da280cee98935a9d606c569,39.0,46.0,5.0,0.0
25,Commit,clastix_capsule,2022-07-26 15:48:58,5a8a8ae77a1f21a4f78ca432987a1686f52dbd75,94.0,7.0,11.0,0.0
26,Commit,clastix_capsule,2022-07-26 15:48:58,a8430f2e72ea3a296606471ebe30bb2a9e7cffeb,1.0,1.0,1.0,0.0
27,Commit,clastix_capsule,2022-07-22 19:29:27,3afc470534f8fafe5a1743135435071d3450682f,2.0,0.0,1.0,0.0
28,Commit,clastix_capsule,2022-07-22 19:29:27,d84f0be76b318e6708ca8d8ad33b29eda39dddb8,2.0,2.0,1.0,0.0
29,Commit,clastix_capsule,2022-07-22 18:05:18,3a174bf755596904b4951bffec62d80bf5de628e,6.0,6.0,2.0,0.0
30,Commit,clastix_capsule,2022-07-22 09:44:20,90a2e9c74267e706f125073680ac6ce7375813e4,2.0,0.0,1.0,0.0
31,Commit,clastix_capsule,2022-07-22 09:44:20,a091331070689d4c6c1fdfd585c9b601e1c4dc9c,2.0,101.0,1.0,0.0
32,Commit,clastix_capsule,2022-07-22 09:44:20,cb3439bd3dbe6eb58ed21d5f08a04d2293adcf0f,572.0,1.0,6.0,0.0
33,Commit,clastix_capsule,2022-07-22 09:44:08,1fd390b91e295584ba8cea6cd43a3d31236d2283,17.0,17.0,2.0,0.0
34,Commit,clastix_capsule,2022-07-20 16:08:11,80c83689f5819621ed47486da9554ea7eca2bcda,39.0,0.0,1.0,0.0
35,Commit,clastix_capsule,2022-07-14 07:08:29,ac3f2bbdd7629e842d2fe3478272441b8575159a,3.0,3.0,3.0,0.0
36,Commit,clastix_capsule,2022-07-14 07:08:29,adb214f7f96e5653017e27621ebf637df82bd67c,4.0,4.0,2.0,0.0
37,Commit,clastix_capsule,2022-07-14 07:08:29,ef26d0e6db7b4ed1348d7a8f2f6bfdf303f924be,0.0,3.0,1.0,0.0
38,Commit,clastix_capsule,2022-07-14 07:08:29,3d6f29fa43bff6893ab02320808e707e966a9d52,103.0,5.0,7.0,0.0
39,Commit,clastix_capsule,2022-06-29 10:53:35,261876b59bfb6733674028271f2881e7aa3dc91d,35.0,0.0,1.0,0.0
40,Commit,clastix_capsule,2022-06-29 10:53:35,ab750141c61b2bf6273a54e9002a65872aacc369,31.0,6.0,2.0,0.0
41,Commit,clastix_capsule,2022-06-29 08:35:43,e23724981568fcbe9858e89077c0fbb25306b3f1,352.0,70.0,8.0,0.0
42,Commit,clastix_capsule,2022-06-29 08:31:21,e15191c2a0f158a234ff665e127a0149fc6724a7,23.0,8.0,2.0,0.0
43,Commit,clastix_capsule,2022-06-14 14:39:05,741db523e5edd8aa0fb5dece5005542217317d9c,2.0,2.0,1.0,0.0
44,Commit,clastix_capsule,2022-06-13 09:52:58,7b3f85003533423fab757960205da6d57a10c892,1.0,0.0,1.0,0.0
45,Commit,clastix_capsule,2022-06-09 18:32:39,cac292082793b17f004320475e72e523632c841c,102.0,3.0,6.0,0.0
46,Commit,clastix_capsule,2022-06-09 18:30:52,e0b339d68a45d0e99572de5a62fcbe277a962992,8.0,0.0,1.0,0.0
47,Commit,clastix_capsule,2022-06-09 18:30:52,4f55dd8db86faae27dc604ecee17cb4acd1f71e8,1.0,1.0,1.0,0.0
48,Commit,clastix_capsule,2022-06-09 12:29:10,fd738341ed162ed83197f4f16359d44c571c722f,2.0,2.0,2.0,0.0
49,Commit,clastix_capsule,2022-06-08 11:12:35,fce1658827b4cd75e2c26f9fb2c997de8c58ba34,0.0,1.0,1.0,0.0
50,Commit,clastix_capsule,2022-06-08 11:12:35,93547c128f0b57d4bf98157427dbaa582a1521f0,2.0,2.0,2.0,0.0
51,Commit,clastix_capsule,2022-06-08 11:12:35,f1dc028649b53bd53443397458c5c7ea027795e9,139.0,141.0,3.0,0.0
52,Commit,clastix_capsule,2022-06-08 11:12:35,37381184d2cac9aa64f65e44a5324cfbcf77772c,15.0,38.0,11.0,0.0
53,Commit,clastix_capsule,2022-06-08 11:12:35,82b58d7d53e36c8776642e30bbbe5b42927f627a,414.0,611.0,12.0,0.0
54,Commit,clastix_capsule,2022-06-03 13:10:21,6e8ddd102f404ffc0bae6f72cdad9067f86098b0,20.0,20.0,2.0,0.0
55,Commit,clastix_capsule,2022-05-31 12:38:38,b64aaebc89b3d38b97f83142c0f71c23d0f68f6f,3.0,3.0,1.0,0.0
56,Commit,clastix_capsule,2022-05-31 12:38:38,9a85631bb88b2e5ea20b8847e6ad70e2c1aeee4e,2.0,2.0,2.0,0.0
57,Commit,clastix_capsule,2022-05-31 12:38:38,51ed42981fbb6f3edda723680510b89389085d65,2.0,2.0,2.0,0.0
58,Commit,clastix_capsule,2022-05-31 12:38:38,cf313d415b0f1f8fa9c8fc0cc69b9b08bfee03ae,2.0,2.0,1.0,0.0
59,Commit,clastix_capsule,2022-05-24 15:50:48,0dd13a96fca69945397727eb05da7667c576ac10,2.0,2.0,2.0,0.0
60,Commit,clastix_capsule,2022-05-24 15:32:04,1c8a5d8f5ae4027887e24fa1aedc0e9bb1735f34,16.0,1.0,1.0,0.0
61,Commit,clastix_capsule,2022-05-24 15:31:24,b9fc50861be2fffea665fa965380910a61a76f75,0.0,2.0,1.0,0.0
62,Commit,clastix_capsule,2022-05-24 13:26:57,29d29ccd4b46d8ffa8030e9c485b4bdd527a6aeb,8.0,0.0,1.0,0.0
63,Commit,clastix_capsule,2022-05-24 09:02:10,f207546af0fb1b4f56eda73ad14e1cc637ce8fa6,2.0,0.0,1.0,0.0
64,Commit,clastix_capsule,2022-05-23 07:17:20,deb0858fae27d3f890311e0e80979ca46be32666,123.0,43.0,10.0,0.0
65,Commit,clastix_capsule,2022-05-23 07:17:20,1af56b736b1d5b9f03021a2dd5c943c6c8a483f6,22.0,18.0,1.0,0.0
66,Commit,clastix_capsule,2022-05-18 16:06:10,3c9228d1aa68710a8ba3c02ff55e45a6f1b91ff5,5.0,3.0,2.0,0.0
67,Commit,clastix_capsule,2022-05-18 16:06:10,bf6760fbd0b45af5106ec657e6fb41660b3192b2,20.0,0.0,1.0,0.0
68,Commit,clastix_capsule,2022-05-18 16:06:10,23564f8e40a4b10a320dea05be7d19b379bd3f9a,94.0,1.0,4.0,0.0
69,Commit,clastix_capsule,2022-05-16 15:51:07,a8b84c8cb37c2da7fc524408af3d602c7555dde4,18.0,2.0,2.0,0.0
70,Commit,clastix_capsule,2022-05-16 14:21:17,8c0c8c653d473ae946b46c1b10c3a1fee10f65ae,53.0,0.0,1.0,0.0
71,Commit,clastix_capsule,2022-05-13 09:34:58,ec89f5dd263919e47fd00f473c58426de1b972a1,8.0,0.0,1.0,0.0
72,Commit,clastix_capsule,2022-05-10 12:48:32,68956a075a258ccf2478c18a46e36d0a7a902ccb,1.0,1.0,1.0,0.0
73,Commit,clastix_capsule,2022-05-09 12:52:23,c036feeefce8a08692690f1d2dd4c9ffd7de0ddc,0.0,29.0,1.0,0.0
74,Commit,clastix_capsule,2022-05-05 13:33:39,9f6883d309368a9dc0dda2c79a436837dc924c55,1.0,1.0,1.0,0.0
75,Commit,clastix_capsule,2022-05-05 13:33:39,e7227d24e9d885fd9b8d8b5ee5d64fbb8769ee3c,11.0,11.0,2.0,0.0
76,Commit,clastix_capsule,2022-05-05 13:33:39,f16813740703c29d7a0fad52f7e0529c5300d9ea,18.0,18.0,3.0,0.0
77,Commit,clastix_capsule,2022-05-05 13:33:39,49e76f7f93715305e28c46d4a3aa1fe31868d88b,576.0,274.0,93.0,0.0
78,Commit,clastix_capsule,2022-05-05 13:33:39,9d6977088847709878881e29b4b00e6a4822022f,2.0,1.0,3.0,0.0
79,Commit,clastix_capsule,2022-05-05 13:33:39,f4ac85dfed262b427502722f317e33680a021235,10.0,19.0,10.0,0.0
80,Commit,clastix_capsule,2022-05-05 13:33:39,cb4289d45b08ddccff447662b4abb771e4cad872,7.0,7.0,3.0,0.0
81,Commit,clastix_capsule,2022-05-05 13:33:39,01197892a4d9fc20ca525940feaafe42ab476191,34.0,79.0,5.0,0.0
82,Commit,clastix_capsule,2022-05-05 13:33:39,345836630cbab37752d75eadfe570b0abef3423d,85.0,93.0,18.0,0.0
83,Commit,clastix_capsule,2022-05-02 09:51:18,69a6394e59993d6400d58b3fbff342721d136dc4,15.0,15.0,2.0,0.0
84,Commit,clastix_capsule,2022-04-14 15:21:49,a3495cf6142d415e429fa8745aa29e8ce8878085,257.0,76.0,51.0,0.0
85,Commit,clastix_capsule,2022-04-14 14:35:59,7662c3dc6a01befed4592f6d8264490eb7a269d1,59.0,12.0,2.0,0.0
86,Commit,clastix_capsule,2022-04-14 14:35:59,137b0f083bd0299fc9864993affa5543d7b9c881,136.0,32.0,5.0,0.0
87,Commit,clastix_capsule,2022-04-14 14:35:59,9fd18db5a5a7274616e5f4299d6995871e511f16,83.0,93.0,4.0,0.0
88,Commit,clastix_capsule,2022-04-14 14:35:59,364adf7d9ef87fb504d889a4de91f536081311d0,2.0,2.0,1.0,0.0
89,Commit,clastix_capsule,2022-04-14 14:10:32,cb3ce372b9a0368eddfd0f6f717c0380af55f261,35.0,14.0,1.0,0.0
90,Commit,clastix_capsule,2022-04-12 10:12:33,59d81c20020fabd7d69a3b42dfb4b1a548419b3d,2.0,2.0,1.0,0.0
91,Commit,clastix_capsule,2022-04-09 12:29:34,85861ee5dcefbc208f9c0a67b1f5dcde63af5852,9.0,9.0,2.0,0.0
92,Commit,clastix_capsule,2022-04-08 17:11:51,ed88606031740b3c4037239d71eb6acab20c809b,19.0,19.0,2.0,0.0
93,Commit,clastix_capsule,2022-04-07 08:16:03,afae361627dc349c3bdc2590b026873233026874,9.0,1.0,3.0,0.0
94,Commit,clastix_capsule,2022-04-06 15:52:22,535ef7412c18c62711814228d8723e39b05264c8,3.0,3.0,2.0,0.0
95,Commit,clastix_capsule,2022-03-31 13:02:25,f373debf549d3dc7de0dd365046b52fb5e0a4282,6.0,2.0,2.0,0.0
96,Commit,clastix_capsule,2022-03-31 13:02:25,569d803e95606b5bb1eb134d3cd25feaf4a2d39e,51.0,11.0,5.0,0.0
97,Commit,clastix_capsule,2022-03-31 13:02:25,7b3b0d6504c1e0055aac06e183f152921446899f,97.0,56.0,9.0,0.0
98,Commit,clastix_capsule,2022-03-31 07:28:16,0bfca6b60e022ec57c7b89cb46da130841d026b2,1.0,3.0,3.0,0.0
99,Commit,clastix_capsule,2022-03-28 07:53:52,fdc1b3fe3917598829ed3ae57a90af681e996f85,1.0,1.0,1.0,0.0
100,Commit,clastix_capsule,2022-02-28 08:44:07,7fefe4f6dedcdf5c600f4edc0f55657ab4bfbb5b,6.0,6.0,2.0,0.0
101,Commit,clastix_capsule,2022-02-27 19:32:10,302bb197079d13404d2c0115bb7c81f2b26692af,16.0,10.0,2.0,0.0
102,Commit,clastix_capsule,2022-02-24 14:18:39,27a7792c31cb40cccf9b5b6017027f6cac1cb490,12.0,12.0,2.0,0.0
103,Commit,clastix_capsule,2022-02-24 14:18:00,1a60e837726e9b4fe636aeeba145c908dab34fba,4.0,4.0,4.0,0.0
